temp_h,temp_p,hunidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,timestamp
37.192741394,37.9979171753,14.2242660522,1002.17431641,0.484485968479,2.39752382439,137.502950484,-3.24357914925,-2.6938970089,5.67067527771,-0.00987342558801,0.0371472612023,0.993064701557,-0.00731804966927,-0.00517570972443,-0.000983290956356,2019-01-16 13:01:44.666636
37.2110786438,38.0,14.1681995392,1002.16357422,0.469144349747,2.35396728117,137.523632297,-6.37093925476,-5.31300783157,11.812833786,-0.00468987738714,0.0332625806332,0.991115033627,0.00412342697382,0.00344644743018,-0.00010247179307,2019-01-16 13:01:44.724816
37.2110786438,38.0062484741,14.1681995392,1002.16137695,0.46598752169,2.31383266272,137.591688301,-7.8389043808,-6.17710924149,14.0451488495,0.0164863225073,0.0269499775022,0.890711963177,0.0270308721811,0.0391820631921,0.00020296080038,2019-01-16 13:01:44.784680
37.1560630798,38.0,13.7441959381,1002.16333008,0.438277364186,2.28153483257,137.71510982,-8.36122226715,-6.65587759018,15.1540670395,-0.00765190506354,0.055113915354,0.976005911827,-0.00435094535351,-0.00575190410018,0.00050063803792,2019-01-16 13:01:44.842104
37.1560630798,38.0104179382,14.0840997696,1002.16552734,0.461530022844,2.30430881769,137.724385217,-8.33324241638,-7.03453302383,15.7560157776,-0.0204873606563,0.0284067299217,1.01572847366,-0.00330657884479,-0.030377689749,-9.97153110802e-05,2019-01-16 13:01:44.895981
37.1560630798,38.0041656494,14.0840997696,1002.16259766,0.450269922388,2.25541341442,137.682816685,-8.34980773926,-7.04435682297,16.0133533478,-0.00370253482834,0.0344765484333,0.979661285877,-0.0152537636459,-0.00855367444456,0.000203907489777,2019-01-16 13:01:44.963016
37.2294158936,38.0104179382,14.0911083221,1002.1628418,0.415900063639,2.19251655023,137.624568832,-8.55690670013,-7.01621055603,15.4389705658,-0.00814557634294,0.0332625806332,0.998426020145,0.0246960297227,0.0138378981501,0.00237482297234,2019-01-16 13:01:45.020566
37.247756958,38.0145835876,14.311870575,1002.17041016,0.459149435114,2.24534998445,137.669142647,-8.46970272064,-7.08745765686,15.4438734055,-0.0103670973331,0.0456450022757,0.982585668564,-0.00662171840668,-0.00392341380939,0.00168146716896,2019-01-16 13:01:45.078082
37.2660903931,38.0083312988,13.6390705109,1002.17407227,0.47246110028,2.2588462248,137.614596756,-8.56051254272,-6.96145963669,15.2681779861,-0.008639248088,0.0315630324185,0.994039416313,-0.013584535569,-0.0173740945756,0.00159151549451,2019-01-16 13:01:45.132011
37.2660903931,38.0083312988,13.6390705109,1002.17407227,0.437574495032,2.1864673505,137.71151714,-8.77499485016,-7.07685518265,15.4624156952,-0.00172784959432,0.0254932194948,0.996476471424,0.0136905573308,0.0030267869588,0.00149719638284,2019-01-16 13:01:45.188362
